,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
5079,glennambrose,g,51,2022-12-11 22:42:07.517373,name found,Glenn Ambrose,"Jamao al Norte, Dominican Republic",8.1k followers,English,Joined in Sep 2016,"Glenn is a Spiritual Teacher, Life Coach, Author of the book Down To Earth - The Spiritual Being's Guide to a Happy, Human Experience and Host of the international podcast Life, Lessons, & Laughter with Glenn Ambrose which has over 200 episodes. His goal is to expand the message of hope, happiness & fulfillment to more people in new creative ways....read more",https://users.insighttimer.com/F1g7c4U8M7P2s4C8D1C6m1v8x7G0c3P5Z9J9T8M2s4C1x1Q3x9c6n5P0S7x2m9r8E3e2e5r3n0V5m5K2L4H9g8L0R8Y8E0G6H2n2/pictures/square_medium.jpeg
5080,graceyoga,g,51,2022-12-11 22:42:26.439764,name found,Grace Warlick,"Texas, USA",7.3k followers,English,Joined in Jan 2018,"Insight Timer Yoga Class Schedule: Tue-Thur 4-5pm CT - Yoga & Yoga Nidra.  Last Friday of each month - Special Card Reading & Yoga Nidra 3:33-5pm CT.  
Schedule changes are posted to Grace Yoga Circle.
Grace is an RYT 500 certified yoga teacher, Ayurvedic Life Coach, and meditation guide. Her meditations and classes are sacred spaces and cultivate balanced, love-centered awareness. She guides yoga and yoga nidra with an approach through grace to help you find restoration....read more",https://users.insighttimer.com/N1W9j2Z5h8R1P5F6T6h4b2L5Y2p0y4x0p2q7x1Z1K6j7v9P3d5e2P5y0M5P1a1a4Z5f3n1Q3v7y1w2M4M5U2a9f8s6H0B6f5E9M1/pictures/square_medium.jpeg
5081,guri,g,51,2022-12-11 22:42:45.429089,name found,Guri,"Ontario, Canada",7.3k followers,English and हिंदी,Joined in Apr 2020,"Guri is a new age Manifestation + Mindset Coach who is bridging the gap in between the spiritual and the material world through words (meditation), movement (dance) and pulling out the weed (limiting beliefs) from people's old conditioning. Guri uses ancient wisdom and modern techniques with a touch of light humor and joy which makes your personal growth journey fun and adventurous.

Guri went from being a lost boy to living his true purpose. He overcame his depression, limiting beliefs and created a life that gives him true happiness and peace. Now, he helps people consciously create their life through his events, coaching and programs....read more",https://users.insighttimer.com/Q3a6W4G6s5p3H2M1z9S9V4s5C4c8N4U4x1R2a6C8A1m2H2L5c9E1h1r2j9z6D8R5q6a9s1e7s4J9E8j1T7G3N2G0b4K6k1Y3h9f9/pictures/square_medium.jpeg
5082,giusi.valentini,g,51,2022-12-11 22:43:10.371462,name found,Giusi Valentini,"Berlin, Germany",6.6k followers,Italiano and English,Joined in Jul 2018,"La mia visione è di sostenere le donne a sviluppare una relazione gentile e compassionevole con se stesse, gettando le basi per una vita appagante e autodeterminata. Le sostengo a riconnettersi con il proprio potere creativo, a sciogliere blocchi mentali, a trasformare le loro visioni in realtà, liberandosi delle paure e sviluppando fiducia in se....read more",https://users.insighttimer.com/b7Z7y5m0e6N6s6z0T8x6G2x6B8W2P3d0d8Y7N6C3Y3m3s3b2r4Y1r6v2f8r4W6U4q7N7Z0U2z5Q7m0Y0Y4y5H5A3k8Z7f6U0t1C0/pictures/square_medium.jpeg
5083,gilfronsdal,g,51,2022-12-11 22:43:29.169908,name found,Gil Fronsdal,"Redwood City, CA, USA",6.5k followers,English,Joined in Sep 2016,"Gil Fronsdal is the co-teacher at the Insight Meditation Center in Redwood City, California and the Insight Retreat Center in Santa Cruz, California. He has been teaching since 1990. Gil has practiced Zen and Vipassana since 1975 and has a Ph.D. in Buddhist Studies from Stanford....read more",https://users.insighttimer.com/m9N8u5N8z7z9H9y8L1P1Q8m6W1P1s8f6c2D2g3h4j7R6M9P5S6s0p5g0C6E7C1j0P9b3W9S7f3g9k8p3f5p6w4h1N9J8V8j5p1h1/pictures/square_medium.jpeg
5084,geraldblomeyer,g,51,2022-12-11 22:43:47.966334,name found,Gerald Blomeyer,Berlin,6.5k followers,Deutsch and English,Joined in Oct 2018,"Compassion, trust and wisdom form the basis of Gerald Blomeyer's teaching of meditation, coaching and story-telling. He is based in Berlin. Born in London, he lived and worked in Germany, India and Nepal.

Mitgefühl, Vertrauen und Weisheit sind die Qualitäten der Arbeit von Gerald Blomeyer. Er arbeitet als Meditations-Lehrer, Coach und Story-Teller in Berlin. In London geboren, hat Gerald in Deutschland, Indien und Nepal gelebt und gearbeitet....read more",https://users.insighttimer.com/M3U2g1E8B5g9X5c3b0a5Q9t0N1T3v6S6B8z0W5r6R8c3s4j3t6y2D9A6d9v4Z2y7F0E0n1N7U9F2n2u5Z9Z9u6P2w7f2T6v4s2T4/pictures/square_medium.jpeg
5085,ginkgoateliers,g,51,2022-12-11 22:44:10.767535,name found,Ginkgo,"Brussels, Belgium",5.7k followers,Français and English,Joined in May 2017,"Ginkgo est psychologue, spécialisée dans le traitement des traumatismes. Elle combine depuis une dizaine d’années la thérapie brève, l’hypnothérapie et la pleine conscience pour aider ses patients à dépasser leurs traumatismes et à se reconstruire après des situations difficiles. De plus, elle anime un cours de méditation / relaxation hebdomadaires à l’Université Libre de Bruxelles et dans les maisons médicales de la région bruxelloise....read more",https://users.insighttimer.com/W2r7t7Z0y5j2v1T3K7S6F7T9f6v6d4J6c5b0U7h1D4P6G2b2D0n9K0v0j4e1B4q8M1U0L3f7K6V8y0y8n8J0r5U1s8J4y1E4H6d2/pictures/square_medium.jpeg
5086,gabrielanhaia,g,51,2022-12-11 22:44:29.591986,name found,Gabriel Anhaia,"Rio de Janeiro, State of Rio de Janeiro, Brazil",4.8k followers,BR. Português,Joined in Jun 2018,"Personal mindfulness, unindo o melhor dos programas científicos de mindfulness, para que o treinamento seja personalizado e individual, de acordo com a necessidade de cada um. Gabriel começou praticando meditações guiadas em 2015, sentiu na pele a dificuldade do processo mas persistiu, e pouco tempo depois já percebeu grandes evoluções e melhorias significativas em sua vida. As transformações foram tantas que hoje sua missão é ser um facilitador desse processo e levar esse bem às pessoas....read more",https://users.insighttimer.com/u3q8e3n5x0u4d5J8A3t9D5H8S7T0V2y9b0G2J1K7d0k4T5f3v3T5r6G0D3S0x3X3M6G6m9Z4e4E6R0L9q7J8K6v9h9K2k1c6t9m2/pictures/square_medium.jpeg
5087,georgiegdeyn1,g,51,2022-12-11 22:44:48.455506,name found,Georgie G Deyn,"London, United Kingdom",3.8k followers,English,Joined in Nov 2017,"Georgie G Deyn is a Singer, Spiritual Teacher and channel who passionately supports peace, unity and oneness. In 2010, Georgie had an Angelic visitation that changed her life, taking her from stressed and depressed to fulfilled and blessed.  Georgie had a profound realisation: the Angel was in fact her Angelic Self and part of a Unity Consciousness Collective. Now she is enabling others to connect with their Angel within and the Divine Voice residing in their heart.
...read more",https://users.insighttimer.com/s2h8E8n7a4u2n8V9E2r3A8u2u8X9R4B2H9m8E3e0B4k9R5d3J7m3C4p1F9Z7b3E4f3Y6Y2C6y7N4V2A0Y7a0M0m5v7m4M9L5c4R1/pictures/square_medium.jpeg
5088,georgiebrowne,g,51,2022-12-11 22:45:11.261217,name found,Georgie Browne,"Cork, Ireland",3.7k followers,English,Joined in Jun 2017,"Georgie Browne is a meditation teacher and mindset coach based in Dublin, Ireland. She helps organizations create the conditions for their employees to thrive and achieve amazing results. With a background in Zen Buddhism, Positive Psychology and more than 15 years of commercial sales management she has a passion for creating happier workplaces. Georgie has attended teachings with the Dalai Lama and other wonderful teachers in India, Ireland and Plum Village in France. ...read more",https://users.insighttimer.com/D0f4P9w5P9z5P4V4D0B6e1Y4W0S6Z4R7R3v7W6K5u4y9M4X2t2L8K0x2w3Q0u9n5m1W7e2f4h9D4N2b6m9V9X6e3L1J0b8N3e5J6/pictures/square_medium.jpeg
5089,geoffreyfavaloro,g,51,2022-12-11 22:45:13.864936,name found,Geoffrey Favaloro,"Melbourne, Australia",3.7k followers,"English, Malay and 日本語",Joined in Sep 2016,"Geoffrey, a Psychologist & Reiki Master Teacher for over 30 years has assisted thousands in leading less stressful lives with his 'Self Help' Guided & Relaxation Meditation audio and video clips. His message: enjoy happy & stress free living in all your work and relationships! ...read more",https://users.insighttimer.com/E3D9L7R3Y0G7j7p2x1V5V9t0N4f8S9Y2C2N1k9s8j4E9r0B6h3R9U0s9w1u9F0k1L5B5J9N4D6N1h2M8V4V2t7A6t7Y4m4m7c8R8/pictures/square_medium.jpeg
5090,gangaji,g,51,2022-12-11 22:45:32.656031,name found,Gangaji,,3.6k followers,English,Joined in Nov 2017,"Gangaji offers ordinary people leading ordinary lives the invitation to fully recognize the absolute freedom and unchanging peace that is the truth of one’s being. She travels the world speaking to seekers from all walks of life. As a teacher and author, she shares her direct experience of the essential message she received from her teacher, Papaji, and offers it to all who want to discover a true and lasting fulfillment. ...read more",https://users.insighttimer.com/Z6w4r2J6C8h9x9R1g8Y3C4N0N6P3P7C9w6q5t9P2S9s7h1j3A2t7J1b4s3c1e0E7f0r2D9W3G5D6m4L1K3T5u9f5k8W6J1u2x7f3/pictures/square_medium.jpeg
5091,gilleschamboraire,g,51,2022-12-11 22:45:55.531615,name found,Gilles Mathieu Chamboraire,"Opole, Opole Voivodeship, Poland",3.6k followers,English and Français,Joined in Nov 2016,"Gilles Chamboraire is a worldwide teacher since 15 years. He was born in Paris. He always dreamed to be a monk, to know wisdom and inner peace and to go on a spiritual path. And so after 6 years of business he decided to travel to Thailand and stayed over 6 years as a Theravada Buddhist monk from the forest tradition learning from one of the most prestigious Thai monks....read more",https://users.insighttimer.com/P2G7Q2S8g3a3M2T1g1f2Y7u0k9W9K2Y3w4c2G9a6A2S8d6z1g6Y6A3n9Q5U4s8P1J6N6X0C7f2a2T2U8q9h4t7P5Z8y3R4z0T9H1/pictures/square_medium.jpeg
5092,ginahardy,g,51,2022-12-11 22:46:14.529364,name found,Gina Hardy,"West Sussex, United Kingdom",3.3k followers,English,Joined in Sep 2016,"Your only real work here is to be your natural self and know that the mind is not who you are. All problems created by the mind drop away when you remember this place of being.

Gina worked corporately for 23 years and then followed her fascination with intimate relationships becoming a coach and then Yoga teacher for 10 years. She lives by the sea in Sussex UK and adores sea swimming.

Gina’s guided meditations offer you a chance to drop all that is untrue and simply be you....read more",https://users.insighttimer.com/N7R9x6S1w8B7k3J4F0z5x6V3D0a6d0s4j6h9S4z5q3q6L7d0q7y0Q3p7z0b1c2V3g1k3h0L3L8P6A3b2B6k9U1s5q6x8A3h1N9P8/pictures/square_medium.jpeg
5093,musicaroundtheworld,g,51,2022-12-11 22:46:17.400090,name found,Golden Violin,,3.2k followers,English,Joined in Sep 2022,"Aimed to offer recordings of spiritual and meditative music for people all over the world , to some degree, help them find their inner peace and improve their life quality. Take this journey to listen and appreciate the art of musical instruments....read more",https://users.insighttimer.com/WrGOhr9VWST6EfYnQbYQ6HlskM03/pictures/square_medium.jpeg
5094,gotama,g,51,2022-12-11 22:46:24.186551,name found,Gotama,"São Martinho das Amoreiras, Portugal",3.2k followers,"English, BR. Português, Deutsch and Français",Joined in Oct 2018,"Gotama plays piano music from his heart. It has always has been one of his most intimate ways of communicating and expressing beauty, peace and love. His music uplifts and nourishes the soul.
Gotama lives in Portugal with his spiritual teacher Mooji who points him to the silence from which all music arises.

Please also enjoy Gotama's playlist ""Relaxing Piano Music"" on Insight Timer...read more",https://users.insighttimer.com/F1A7j6k7E3J0B4S5r3x0S8t9n4Q3m3M2C3t1G5b8K7h2h0w4v0L8p9B0Q8V1w4J8z8z6N8U2P1z9f9x3a0N0A6J5A1m8v1f6G8n4/pictures/square_medium.jpeg
5095,guogu,g,51,2022-12-11 22:46:27.341090,name found,Guo Gu,"Tallahassee, FL, USA",3.2k followers,English,Joined in Sep 2016,"Guo Gu is the founder of and the Chan (Zen) teacher at the Tallahassee Chan Center in Tallahassee, FL. He leads intensive retreats in the US, UK, and Asia. Trained in Buddhist and Chan/Zen meditation since he was four years old, over the span of over four decades, he is currently one of the most active and respected teachers of Chan Buddhism in the West. Guo Gu is the author of Essence of Chan, Passing through the Gateless Barrier, and Silent Illumination through Shambhala Publications. ...read more",https://users.insighttimer.com/P5z4v7K7j5B6Z4N5y6n4V4T9w8G4K3D1g6F0W0c0K3x9v7y0q5y9r9w4R9Z9F3f2n3f1D2q3j0M2g2t0a2u5r9K6k8G0s8v0W2V3/pictures/square_medium.jpeg
5096,newaims.ch,g,51,2022-12-11 22:46:30.714233,name found,Genki,"Geneva, Switzerland",3.1k followers,Français and Italiano,Joined in Mar 2020,"Lucia est Psychologue FSP et Psychothérapeute spécialisée dans le stress, le burn-out et la santé au travail. Genki (元気) en japonais signifie ""santé, esprit plein d’énergie"". Passionnée de culture japonaise et de mindfulness, elle met à disposition des méditations, qui invitent à vivre une vie épanouissante. Pour aller plus loin, elle propose des séances de thérapie, de méditation et de coaching à son cabinet à Genève en Suisse et à distance....read more",https://users.insighttimer.com/R8d2T4p7N4W6a5T3t6Q9w3T7w7G4D0h7g5A1e3c0K4d8f4E8T4C2A6q9d6d1b1B6M5g7T9R8p3j4K3D4E6t0Q4y3Y3N5T6k6s6g8/pictures/square_medium.jpeg
